OUTBREAK,STRATEGY,END TURN,SUSCEPTIBLE,INFECTED,RECOVERED,PROTECTED
0,PROXIMITY,8,0,50,0,50
0,DEGREE,8,0,51,0,49
0,PROTECTION,9,0,39,0,61
1,PROXIMITY,11,0,41,0,59
1,DEGREE,7,0,46,0,54
1,PROTECTION,8,0,37,0,63
2,PROXIMITY,7,0,37,0,63
2,DEGREE,7,0,40,0,60
2,PROTECTION,7,0,32,0,68
3,PROXIMITY,7,0,44,0,56
3,DEGREE,7,0,43,0,57
3,PROTECTION,6,0,35,0,65
4,PROXIMITY,6,0,46,0,54
4,DEGREE,6,0,45,0,55
4,PROTECTION,7,0,36,0,64
5,PROXIMITY,13,0,25,0,75
5,DEGREE,13,0,25,0,75
5,PROTECTION,11,0,22,0,78
6,PROXIMITY,7,0,43,0,57
6,DEGREE,7,0,42,0,58
6,PROTECTION,6,0,35,0,65
7,PROXIMITY,7,0,44,0,56
7,DEGREE,9,0,40,0,60
7,PROTECTION,11,0,30,0,70
8,PROXIMITY,6,0,40,0,60
8,DEGREE,6,0,39,0,61
8,PROTECTION,6,0,34,0,66
9,PROXIMITY,9,0,36,0,64
9,DEGREE,7,0,38,0,62
9,PROTECTION,9,0,28,0,72
10,PROXIMITY,7,0,36,0,64
10,DEGREE,7,0,40,0,60
10,PROTECTION,6,0,30,0,70
11,PROXIMITY,11,0,28,0,72
11,DEGREE,8,0,33,0,67
11,PROTECTION,9,0,20,0,80
12,PROXIMITY,9,0,39,0,61
12,DEGREE,6,0,40,0,60
12,PROTECTION,6,0,29,0,71
13,PROXIMITY,9,0,45,0,55
13,DEGREE,9,0,45,0,55
13,PROTECTION,11,0,32,0,68
14,PROXIMITY,9,0,41,0,59
14,DEGREE,11,0,42,0,58
14,PROTECTION,8,0,39,0,61
15,PROXIMITY,11,0,34,0,66
15,DEGREE,9,0,36,0,64
15,PROTECTION,11,0,26,0,74
16,PROXIMITY,7,0,54,0,46
16,DEGREE,7,0,50,0,50
16,PROTECTION,7,0,39,0,61
17,PROXIMITY,9,0,47,0,53
17,DEGREE,6,0,49,0,51
17,PROTECTION,6,0,40,0,60
18,PROXIMITY,6,0,40,0,60
18,DEGREE,6,0,39,0,61
18,PROTECTION,7,0,31,0,69
19,PROXIMITY,6,0,55,0,45
19,DEGREE,6,0,55,0,45
19,PROTECTION,6,0,41,0,59
20,PROXIMITY,7,0,45,0,55
20,DEGREE,7,0,43,0,57
20,PROTECTION,9,0,30,0,70
21,PROXIMITY,11,0,25,0,75
21,DEGREE,7,0,30,0,70
21,PROTECTION,13,0,20,0,80
22,PROXIMITY,9,0,34,0,66
22,DEGREE,7,0,38,0,62
22,PROTECTION,8,0,29,0,71
23,PROXIMITY,9,0,36,0,64
23,DEGREE,9,0,36,0,64
23,PROTECTION,13,0,24,0,76
24,PROXIMITY,10,0,32,0,68
24,DEGREE,9,0,31,0,69
24,PROTECTION,11,0,21,0,79
25,PROXIMITY,9,0,34,0,66
25,DEGREE,7,0,37,0,63
25,PROTECTION,9,0,26,0,74
26,PROXIMITY,6,0,44,0,56
26,DEGREE,6,0,43,0,57
26,PROTECTION,7,0,34,0,66
27,PROXIMITY,7,0,41,0,59
27,DEGREE,7,0,41,0,59
